team_code,artifact,local_path,stage_relpath,bytes
L12,video_thumbnail,teams/L12_Fusion Zero/video-thumbnail.png,L12/video_thumbnail.png,109134
L12,bom,teams/L12_Fusion Zero/bom.pdf,L12/bom.pdf,9743
L12,source_code,teams/L12_Fusion Zero/code.zip,L12/source_code.zip,26877510
L13,team_photo,teams/L13_IES-SÄ/team_photo.jpg,L13/team_photo.jpg,172426
L13,robot_photo,teams/L13_IES-SÄ/robot_photo.jpg,L13/robot_photo.jpg,179577
L13,poster,teams/L13_IES-SÄ/poster.pdf,L13/poster.pdf,565721
L13,video,teams/L13_IES-SÄ/video.mp4,L13/video.mp4,93916461
L13,video_thumbnail,teams/L13_IES-SÄ/video-thumbnail.png,L13/video_thumbnail.png,185337
L13,bom,teams/L13_IES-SÄ/bom.pdf,L13/bom.pdf,60339
L13,source_code,teams/L13_IES-SÄ/code.zip,L13/source_code.zip,1664
L14,team_photo,teams/L14_IITA Rescuebot/team_photo.jpg,L14/team_photo.jpg,163637
L14,robot_photo,teams/L14_IITA Rescuebot/robot_photo.jpg,L14/robot_photo.jpg,3094340
L14,poster,teams/L14_IITA Rescuebot/poster.pdf,L14/poster.pdf,15037628
L14,video,teams/L14_IITA Rescuebot/video.mp4,L14/video.mp4,148088705
L14,video_thumbnail,teams/L14_IITA Rescuebot/video-thumbnail.png,L14/video_thumbnail.png,129153
L14,bom,teams/L14_IITA Rescuebot/bom.pdf,L14/bom.pdf,155059
L14,source_code,teams/L14_IITA Rescuebot/code.zip,L14/source_code.zip,24372558
L15,team_photo,teams/L15_Inžinieri/team_photo.jpg,L15/team_photo.jpg,2941447
L15,robot_photo,teams/L15_Inžinieri/robot_photo.png,L15/robot_photo.png,3523234
L15,poster,teams/L15_Inžinieri/poster.pdf,L15/poster.pdf,18216914
L15,video,teams/L15_Inžinieri/video.mp4,L15/video.mp4,332815262
L15,video_thumbnail,teams/L15_Inžinieri/video-thumbnail.png,L15/video_thumbnail.png,310753
