team_code,team_name,league,country,team_id,team_dir,poster_file,poster_file_status,poster_file_bytes,document_public_flag,tdp_consent,video_consent,poster_consent,bom_consent,source_code_consent,publication_consent_status,disagreed_artifacts,missing_consent_artifacts,unknown_consent_values,poster_publication_allowed_by_consent,all_publication_consents_agree
L27,Titãs da Robótica - Ligeirinho,Line,Brazil,6a25ee91105b411f7b0654a9,teams/L27_Titãs da Robótica - Ligeirinho,teams/L27_Titãs da Robótica - Ligeirinho/poster.pdf,ok,6303309,False,Agree,Agree,Agree,Agree,Agree,all_agree,,,,True,True
M41,AURAT,Maze,Italy,6a25ee91105b411f7b0654ab,teams/M41_AURAT,teams/M41_AURAT/poster.pdf,ok,7402480,False,Agree,Agree,Agree,Agree,Agree,all_agree,,,,True,True
M42,B.Robots Seniors,Maze,Austria,6a25ee91105b411f7b0654ad,teams/M42_B.Robots Seniors,teams/M42_B.Robots Seniors/poster.pdf,ok,7440786,False,Agree,Agree,Agree,Agree,Agree,all_agree,,,,True,True
M43,Bodensee Dogs,Maze,Germany,6a25ee91105b411f7b0654af,teams/M43_Bodensee Dogs,teams/M43_Bodensee Dogs/poster.pdf,ok,14415422,False,Agree,Disagree,Agree,Disagree,Disagree,partial_or_declined,Video;BOM;Source Code,,,True,False
M44,Byte Volta,Maze,Brazil,6a25ee91105b411f7b0654b1,teams/M44_Byte Volta,teams/M44_Byte Volta/poster.pdf,ok,8300033,False,Agree,Agree,Agree,Agree,Disagree,partial_or_declined,Source Code,,,True,False
M45,CEBELÜ,Maze,Türkiye,6a25ee91105b411f7b0654b3,teams/M45_CEBELÜ,teams/M45_CEBELÜ/poster.pdf,ok,4696275,False,Agree,Agree,Agree,Agree,Agree,all_agree,,,,True,True
M46,Delta,Maze,Australia,6a25ee91105b411f7b0654b5,teams/M46_Delta,teams/M46_Delta/poster.pdf,ok,2395055,False,Agree,Agree,Agree,Agree,Agree,all_agree,,,,True,True
M47,ERROR404,Maze,Kazakhstan,6a25ee91105b411f7b0654b7,teams/M47_ERROR404,teams/M47_ERROR404/poster.pdf,error,0,False,Missing,Missing,Missing,Missing,Missing,incomplete,,TDP;Video;Poster;BOM;Source Code,,False,False
M48,Flying Pig,Maze,Taiwan,6a25ee91105b411f7b0654b9,teams/M48_Flying Pig,teams/M48_Flying Pig/poster.pdf,ok,20167077,False,Agree,Disagree,Disagree,Disagree,Disagree,partial_or_declined,Video;Poster;BOM;Source Code,,,False,False
M49,Gebruder Weiss CRO team,Maze,Croatia,6a25ee91105b411f7b0654bb,teams/M49_Gebruder Weiss CRO team,teams/M49_Gebruder Weiss CRO team/poster.pdf,ok,2828928,False,Agree,Disagree,Agree,Disagree,Disagree,partial_or_declined,Video;BOM;Source Code,,,True,False
M50,LF Rescue Unit,Maze,Portugal,6a25ee91105b411f7b0654bd,teams/M50_LF Rescue Unit,teams/M50_LF Rescue Unit/poster.pdf,ok,4599193,False,Agree,Agree,Agree,Agree,Agree,all_agree,,,,True,True
M51,LIGHTNING,Maze,Hungary,6a25ee91105b411f7b0654bf,teams/M51_LIGHTNING,teams/M51_LIGHTNING/poster.pdf,ok,11230943,False,Agree,Agree,Agree,Agree,Disagree,partial_or_declined,Source Code,,,True,False
M52,Optimaze,Maze,Israel,6a25ee91105b411f7b0654c1,teams/M52_Optimaze,teams/M52_Optimaze/poster.pdf,ok,11947004,False,Agree,Agree,Agree,Agree,Disagree,partial_or_declined,Source Code,,,True,False
M53,PCMS_ET,Maze,China,6a25ee91105b411f7b0654c3,teams/M53_PCMS_ET,teams/M53_PCMS_ET/poster.pdf,ok,2210813,False,Agree,Agree,Agree,Agree,Agree,all_agree,,,,True,True
M54,PERSEUS,Maze,Panama,6a25ee91105b411f7b0654c5,teams/M54_PERSEUS,teams/M54_PERSEUS/poster.pdf,ok,14120202,False,Missing,Missing,Missing,Missing,Missing,incomplete,,TDP;Video;Poster;BOM;Source Code,,False,False
M55,PRIMEX FCoEE,Maze,Malaysia,6a25ee91105b411f7b0654c7,teams/M55_PRIMEX FCoEE,teams/M55_PRIMEX FCoEE/poster.pdf,ok,1442982,False,Agree,Agree,Agree,Agree,Agree,all_agree,,,,True,True
M56,Pi-rates,Maze,USA,6a25ee91105b411f7b0654c9,teams/M56_Pi-rates,teams/M56_Pi-rates/poster.pdf,ok,18445626,False,Agree,Agree,Agree,Agree,Agree,all_agree,,,,True,True
M57,RC UANL,Maze,Mexico,6a25ee91105b411f7b0654cb,teams/M57_RC UANL,teams/M57_RC UANL/poster.pdf,ok,4352298,False,Agree,Agree,Agree,Agree,Agree,all_agree,,,,True,True
