cap_points,teams_over_cap,teams_over_cap_pct,avg_score_percentile_over_cap,avg_score_percentile_at_or_below_cap
6,27,0.46551724137931033,0.6500474833808167,0.369313482216708
8,23,0.39655172413793105,0.6595317725752509,0.39516483516483514
10,22,0.3793103448275862,0.6607226107226107,0.40178062678062676
12,19,0.3275862068965517,0.6738191632928475,0.41531886916502303
15,14,0.2413793103448276,0.7945054945054946,0.4062937062937063
